,hand_side,correction_method,reference_object,mean_ita,std_ita,n
0,dorsal,affine,banknote,40.65,51.60,463
1,dorsal,affine,colorchecker,11.92,19.75,488
2,dorsal,baseline,none,-6.53,18.83,499
3,dorsal,gray_world,none,44.92,16.83,499
4,dorsal,linear,banknote,-11.26,57.41,463
5,dorsal,linear,colorchecker,6.00,22.27,488
6,dorsal,poly2,banknote,30.04,45.39,463
7,dorsal,poly2,colorchecker,12.57,20.91,488
8,dorsal,poly3_cheung,banknote,26.01,55.95,463
9,dorsal,poly3_cheung,colorchecker,16.97,20.48,488
10,dorsal,shades_of_gray,none,25.73,19.91,499
11,palm,affine,banknote,53.92,49.20,467
12,palm,affine,colorchecker,26.43,15.78,493
13,palm,baseline,none,10.11,15.73,500
14,palm,gray_world,none,60.76,9.59,500
15,palm,linear,banknote,1.98,69.76,467
16,palm,linear,colorchecker,22.94,18.39,493
17,palm,poly2,banknote,44.00,48.16,467
18,palm,poly2,colorchecker,27.95,17.07,493
19,palm,poly3_cheung,banknote,35.52,60.21,467
20,palm,poly3_cheung,colorchecker,32.30,15.75,493
21,palm,shades_of_gray,none,43.47,12.31,500
