,A,B,p,sig,n,median_diff
0,affine_ba,affine_co,0.00,True,20,36.38
1,affine_ba,baseline_no,0.00,True,20,37.36
2,affine_ba,gray_world_no,0.00,True,20,41.93
3,affine_ba,linear_ba,0.02,True,20,-20.62
4,affine_ba,linear_co,0.00,True,20,34.22
5,affine_ba,poly2_ba,0.06,False,20,3.91
6,affine_ba,poly2_co,0.00,True,20,35.76
7,affine_ba,poly3_cheung_ba,0.02,True,20,-4.95
8,affine_ba,poly3_cheung_co,0.00,True,20,37.49
9,affine_ba,shades_of_gray_no,0.00,True,20,40.28
10,affine_co,baseline_no,0.20,False,20,1.72
11,affine_co,gray_world_no,0.00,True,20,2.52
12,affine_co,linear_ba,0.00,True,20,-54.43
13,affine_co,linear_co,0.00,True,20,-1.41
14,affine_co,poly2_ba,0.00,True,20,-32.56
15,affine_co,poly2_co,0.00,True,20,-1.18
16,affine_co,poly3_cheung_ba,0.00,True,20,-46.07
17,affine_co,poly3_cheung_co,0.23,False,20,0.23
18,affine_co,shades_of_gray_no,0.00,True,20,2.98
19,baseline_no,gray_world_no,0.01,True,20,2.75
20,baseline_no,linear_ba,0.00,True,20,-56.46
21,baseline_no,linear_co,0.01,True,20,-3.58
22,baseline_no,poly2_ba,0.00,True,20,-35.97
23,baseline_no,poly2_co,0.01,True,20,-2.78
24,baseline_no,poly3_cheung_ba,0.00,True,20,-48.90
25,baseline_no,poly3_cheung_co,0.22,False,20,-0.95
26,baseline_no,shades_of_gray_no,0.00,True,20,2.38
27,gray_world_no,linear_ba,0.00,True,20,-61.42
28,gray_world_no,linear_co,0.00,True,20,-4.07
29,gray_world_no,poly2_ba,0.00,True,20,-35.63
30,gray_world_no,poly2_co,0.00,True,20,-4.28
31,gray_world_no,poly3_cheung_ba,0.00,True,20,-49.70
32,gray_world_no,poly3_cheung_co,0.00,True,20,-2.88
33,gray_world_no,shades_of_gray_no,0.37,False,20,-0.44
34,linear_ba,linear_co,0.00,True,20,52.42
35,linear_ba,poly2_ba,0.00,True,20,14.60
36,linear_ba,poly2_co,0.00,True,20,53.82
37,linear_ba,poly3_cheung_ba,0.26,False,20,5.33
38,linear_ba,poly3_cheung_co,0.00,True,20,55.69
39,linear_ba,shades_of_gray_no,0.00,True,20,60.22
40,linear_co,poly2_ba,0.00,True,20,-30.77
41,linear_co,poly2_co,0.55,False,20,-0.10
42,linear_co,poly3_cheung_ba,0.00,True,20,-44.29
43,linear_co,poly3_cheung_co,0.00,True,20,1.35
44,linear_co,shades_of_gray_no,0.00,True,20,4.37
45,poly2_ba,poly2_co,0.00,True,20,31.56
46,poly2_ba,poly3_cheung_ba,0.00,True,20,-9.05
47,poly2_ba,poly3_cheung_co,0.00,True,20,33.07
48,poly2_ba,shades_of_gray_no,0.00,True,20,38.05
49,poly2_co,poly3_cheung_ba,0.00,True,20,-44.96
50,poly2_co,poly3_cheung_co,0.00,True,20,1.53
51,poly2_co,shades_of_gray_no,0.00,True,20,4.34
52,poly3_cheung_ba,poly3_cheung_co,0.00,True,20,46.98
53,poly3_cheung_ba,shades_of_gray_no,0.00,True,20,50.25
54,poly3_cheung_co,shades_of_gray_no,0.00,True,20,3.11
