correction_method,reference_object,L1,L3,L4,L5,L6,L2
affine,banknote,15.13,15.84,14.69,15.04,18.88,16.26
affine,colorchecker,3.83,4.53,3.62,4.20,3.61,3.77
baseline,none,7.67,6.32,6.23,6.13,11.44,11.28
gray_world,none,12.56,13.97,14.06,14.26,10.15,11.64
linear,banknote,12.32,13.54,12.85,13.62,13.36,12.96
linear,colorchecker,4.47,5.10,4.52,4.86,4.88,4.32
poly2,banknote,17.86,17.35,16.76,17.08,20.82,18.55
poly2,colorchecker,2.39,3.08,2.69,2.96,2.44,2.38
poly3_cheung,banknote,18.99,18.65,17.88,18.93,21.61,19.28
poly3_cheung,colorchecker,2.07,2.31,2.06,2.30,2.18,2.20
shades_of_gray,none,6.76,8.29,8.17,8.28,5.40,6.62
