,method,ref,n_groups,same,same_pct,shift_1,shift_1_pct,shift_2+,shift_2+_pct
0,affine,banknote,20,0,0.00,0,0.00,20,100.00
1,affine,colorchecker,20,1,5.00,9,45.00,10,50.00
2,baseline,none,20,6,30.00,5,25.00,9,45.00
3,gray_world,none,20,4,20.00,9,45.00,7,35.00
4,linear,banknote,20,0,0.00,0,0.00,20,100.00
5,linear,colorchecker,20,0,0.00,6,30.00,14,70.00
6,poly2,banknote,20,0,0.00,0,0.00,20,100.00
7,poly2,colorchecker,20,1,5.00,2,10.00,17,85.00
8,poly3_cheung,banknote,20,0,0.00,0,0.00,20,100.00
9,poly3_cheung,colorchecker,20,1,5.00,4,20.00,15,75.00
10,shades_of_gray,none,20,1,5.00,12,60.00,7,35.00
