,person_id,method,ref,std_L,std_a,std_b
0,1,affine,banknote,3.73,5.71,4.38
1,1,affine,colorchecker,4.38,2.14,3.14
2,1,baseline,none,1.97,2.89,2.59
3,1,gray_world,none,4.04,3.48,2.05
4,1,linear,banknote,6.76,6.06,4.69
5,1,linear,colorchecker,5.13,2.49,3.18
6,1,poly2,banknote,3.94,5.59,4.85
7,1,poly2,colorchecker,5.58,2.17,3.34
8,1,poly3_cheung,banknote,4.39,6.07,5.14
9,1,poly3_cheung,colorchecker,5.22,1.76,3.59
10,1,shades_of_gray,none,2.19,2.59,1.97
11,2,affine,banknote,7.07,6.55,4.05
12,2,affine,colorchecker,4.32,1.60,1.33
13,2,baseline,none,0.77,3.59,4.38
14,2,gray_world,none,3.94,3.84,3.76
15,2,linear,banknote,6.11,5.60,3.04
16,2,linear,colorchecker,4.84,2.20,1.49
17,2,poly2,banknote,9.96,5.29,2.23
18,2,poly2,colorchecker,5.39,2.01,1.50
19,2,poly3_cheung,banknote,10.44,6.24,3.46
20,2,poly3_cheung,colorchecker,4.85,1.70,1.91
21,2,shades_of_gray,none,0.59,3.01,3.32
22,3,affine,banknote,6.15,2.64,2.53
23,3,affine,colorchecker,3.37,1.01,1.46
24,3,baseline,none,1.95,1.73,0.98
25,3,gray_world,none,3.41,1.56,1.33
26,3,linear,banknote,7.24,3.26,3.56
27,3,linear,colorchecker,4.06,1.16,1.68
28,3,poly2,banknote,7.14,3.24,4.99
29,3,poly2,colorchecker,3.49,0.96,1.79
30,3,poly3_cheung,banknote,7.89,2.35,3.14
31,3,poly3_cheung,colorchecker,3.30,0.87,1.53
32,3,shades_of_gray,none,2.30,1.63,1.39
33,4,affine,banknote,5.97,3.53,2.86
34,4,affine,colorchecker,5.16,1.34,1.27
35,4,baseline,none,2.82,1.32,1.35
36,4,gray_world,none,4.20,2.24,0.59
37,4,linear,banknote,6.86,4.84,1.93
38,4,linear,colorchecker,5.88,1.76,1.37
39,4,poly2,banknote,7.45,3.33,3.51
40,4,poly2,colorchecker,5.57,1.53,1.33
41,4,poly3_cheung,banknote,8.15,2.85,2.14
42,4,poly3_cheung,colorchecker,4.85,1.30,1.29
43,4,shades_of_gray,none,4.06,1.16,0.97
44,5,affine,banknote,5.06,5.85,3.99
45,5,affine,colorchecker,3.18,1.29,3.54
46,5,baseline,none,0.46,2.64,0.85
47,5,gray_world,none,1.47,2.27,1.65
48,5,linear,banknote,5.40,5.11,6.64
49,5,linear,colorchecker,3.85,1.66,3.90
50,5,poly2,banknote,5.69,6.17,6.10
51,5,poly2,colorchecker,4.03,1.53,4.15
52,5,poly3_cheung,banknote,6.33,6.94,6.68
53,5,poly3_cheung,colorchecker,3.64,1.30,4.02
54,5,shades_of_gray,none,0.64,2.52,1.35
